"ID"	"adm_1_name"	"adm_2_name"	"full_name"	"FAO_GAUL_code"	"adm2_std"	"adm1_std"	"ADM2_PCODE"
630	"VALLE"	"BUGALAGRANDE"	"COLOMBIA, VALLE, BUGALAGRANDE"	14372	"bugalagrande"	"valle"	"CO76113"
631	"VALLE"	"JAMUNDI"	"COLOMBIA, VALLE, JAMUNDI"	14386	"jamundi"	"valle"	"CO76364"
632	"CUNDINAMARCA"	"VERGARA"	"COLOMBIA, CUNDINAMARCA, VERGARA"	13942	"vergara"	"cundinamarca"	"CO25862"
633	"CASANARE"	"VILLANUEVA"	"COLOMBIA, CASANARE, VILLANUEVA"	13717	"villanueva"	"casanare"	"CO85440"
634	"ANTIOQUIA"	"CARACOLI"	"COLOMBIA, ANTIOQUIA, CARACOLI"	13369	"caracoli"	"antioquia"	"CO05142"
635	"ANTIOQUIA"	"CAUCASIA"	"COLOMBIA, ANTIOQUIA, CAUCASIA"	13374	"caucasia"	"antioquia"	"CO05154"
636	"ANTIOQUIA"	"CHIGORODO"	"COLOMBIA, ANTIOQUIA, CHIGORODO"	13375	"chigorodo"	"antioquia"	"CO05172"
637	"ANTIOQUIA"	"GIRARDOTA"	"COLOMBIA, ANTIOQUIA, GIRARDOTA"	13390	"girardota"	"antioquia"	"CO05308"
638	"ANTIOQUIA"	"ITAGUI"	"COLOMBIA, ANTIOQUIA, ITAGUI"	13398	"itagui"	"antioquia"	"CO05360"
639	"SANTANDER"	"GUAVATA"	"COLOMBIA, SANTANDER, GUAVATA"	14245	"guavata"	"santander"	"CO68324"
640	"ANTIOQUIA"	"GRANADA"	"COLOMBIA, ANTIOQUIA, GRANADA"	13392	"granada"	"antioquia"	"CO05313"
641	"ANTIOQUIA"	"SABANETA"	"COLOMBIA, ANTIOQUIA, SABANETA"	13427	"sabaneta"	"antioquia"	"CO05631"
642	"ANTIOQUIA"	"SOPETRAN"	"COLOMBIA, ANTIOQUIA, SOPETRAN"	13447	"sopetran"	"antioquia"	"CO05761"
643	"ANTIOQUIA"	"TARSO"	"COLOMBIA, ANTIOQUIA, TARSO"	13450	"tarso"	"antioquia"	"CO05792"
644	"ANTIOQUIA"	"VENECIA"	"COLOMBIA, ANTIOQUIA, VENECIA"	13460	"venecia"	"antioquia"	"CO05861"
645	"ANTIOQUIA"	"YARUMAL"	"COLOMBIA, ANTIOQUIA, YARUMAL"	13463	"yarumal"	"antioquia"	"CO05887"
646	"ANTIOQUIA"	"ZARAGOZA"	"COLOMBIA, ANTIOQUIA, ZARAGOZA"	13466	"zaragoza"	"antioquia"	"CO05895"
647	"ARAUCA"	"CRAVO NORTE"	"COLOMBIA, ARAUCA, CRAVO NORTE"	13469	"cravo norte"	"arauca"	"CO81220"
648	"BOLIVAR"	"SAN JACINTO"	"COLOMBIA, BOLIVAR, SAN JACINTO"	13521	"san jacinto"	"bolivar"	"CO13654"
649	"CAQUETA"	"EL DONCELLO"	"COLOMBIA, CAQUETA, EL DONCELLO"	13689	"el doncello"	"caqueta"	"CO18247"
650	"CAQUETA"	"EL PAUJIL"	"COLOMBIA, CAQUETA, EL PAUJIL"	13690	"el paujil"	"caqueta"	"CO18256"
651	"CAQUETA"	"VALPARAISO"	"COLOMBIA, CAQUETA, VALPARAISO"	13699	"valparaiso"	"caqueta"	"CO18860"
652	"CASANARE"	"CHAMEZA"	"COLOMBIA, CASANARE, CHAMEZA"	13701	"chameza"	"casanare"	"CO85015"
653	"CORDOBA"	"SAN PELAYO"	"COLOMBIA, CORDOBA, SAN PELAYO"	13833	"san pelayo"	"cordoba"	"CO23686"
654	"ANTIOQUIA"	"ARBOLETES"	"COLOMBIA, ANTIOQUIA, ARBOLETES"	13353	"arboletes"	"antioquia"	"CO05051"
655	"CUNDINAMARCA"	"PANDI"	"COLOMBIA, CUNDINAMARCA, PANDI"	13900	"pandi"	"cundinamarca"	"CO25524"
656	"ANTIOQUIA"	"LA ESTRELLA"	"COLOMBIA, ANTIOQUIA, LA ESTRELLA"	13403	"la estrella"	"antioquia"	"CO05380"
657	"ANTIOQUIA"	"PUERTO NARE (LA MAGDALENA )"	"COLOMBIA, ANTIOQUIA, PUERTO NARE (LA MAGDALENA )"	13419	"puerto nare (la magdalena )"	"antioquia"	"CO05585"
658	"QUINDIO"	"SALENTO"	"COLOMBIA, QUINDIO, SALENTO"	14188	"salento"	"quindio"	"CO63690"
659	"ANTIOQUIA"	"AMAGA"	"COLOMBIA, ANTIOQUIA, AMAGA"	13344	"amaga"	"antioquia"	"CO05030"
660	"TOLIMA"	"FLANDES"	"COLOMBIA, TOLIMA, FLANDES"	14334	"flandes"	"tolima"	"CO73275"
661	"ANTIOQUIA"	"CARAMANTA"	"COLOMBIA, ANTIOQUIA, CARAMANTA"	13370	"caramanta"	"antioquia"	"CO05145"
662	"MAGDALENA"	"EL RETEN"	"COLOMBIA, MAGDALENA, EL RETEN"	14010	"el reten"	"magdalena"	"CO47268"
663	"MAGDALENA"	"SANTA ANA"	"COLOMBIA, MAGDALENA, SANTA ANA"	14027	"santa ana"	"magdalena"	"CO47707"
664	"ANTIOQUIA"	"CISNEROS"	"COLOMBIA, ANTIOQUIA, CISNEROS"	13376	"cisneros"	"antioquia"	"CO05190"
665	"ANTIOQUIA"	"FREDONIA"	"COLOMBIA, ANTIOQUIA, FREDONIA"	13387	"fredonia"	"antioquia"	"CO05282"
666	"ANTIOQUIA"	"FRONTINO"	"COLOMBIA, ANTIOQUIA, FRONTINO"	13388	"frontino"	"antioquia"	"CO05284"
667	"ANTIOQUIA"	"LA CEJA"	"COLOMBIA, ANTIOQUIA, LA CEJA"	13402	"la ceja"	"antioquia"	"CO05376"
668	"ANTIOQUIA"	"MONTEBELLO"	"COLOMBIA, ANTIOQUIA, MONTEBELLO"	13409	"montebello"	"antioquia"	"CO05467"
669	"ANTIOQUIA"	"MURINDO"	"COLOMBIA, ANTIOQUIA, MURINDO"	13410	"murindo"	"antioquia"	"CO05475"
670	"BOLIVAR"	"CORDOBA"	"COLOMBIA, BOLIVAR, CORDOBA"	13506	"cordoba"	"bolivar"	"CO13212"
671	"BOLIVAR"	"EL PENON"	"COLOMBIA, BOLIVAR, EL PENON"	13518	"el penon"	"bolivar"	"CO13268"
672	"BOLIVAR"	"MARIA LA BAJA"	"COLOMBIA, BOLIVAR, MARIA LA BAJA"	13513	"maria la baja"	"bolivar"	"CO13442"
673	"CAUCA"	"PUERTO TEJADA"	"COLOMBIA, CAUCA, PUERTO TEJADA"	13746	"puerto tejada"	"cauca"	"CO19573"
675	"CORDOBA"	"CHIMA"	"COLOMBIA, CORDOBA, CHIMA"	13812	"chima"	"cordoba"	"CO23168"
676	"CUNDINAMARCA"	"CHOCONTA"	"COLOMBIA, CUNDINAMARCA, CHOCONTA"	13855	"choconta"	"cundinamarca"	"CO25183"
677	"GUAJIRA"	"ALBANIA"	"COLOMBIA, GUAJIRA, ALBANIA"	13962	"albania"	"guajira"	"CO44035"
678	"ANTIOQUIA"	"SABANALARGA"	"COLOMBIA, ANTIOQUIA, SABANALARGA"	13426	"sabanalarga"	"antioquia"	"CO05628"
679	"ANTIOQUIA"	"SALGAR"	"COLOMBIA, ANTIOQUIA, SALGAR"	13428	"salgar"	"antioquia"	"CO05642"
680	"BOLIVAR"	"SANTA CATALINA"	"COLOMBIA, BOLIVAR, SANTA CATALINA"	13525	"santa catalina"	"bolivar"	"CO13673"
681	"MAGDALENA"	"ZAPAYAN"	"COLOMBIA, MAGDALENA, ZAPAYAN"	14030	"zapayan"	"magdalena"	"CO47960"
682	"NARINO"	"POLICARPA"	"COLOMBIA, NARINO, POLICARPA"	14103	"policarpa"	"narino"	"CO52540"
683	"ANTIOQUIA"	"MACEO"	"COLOMBIA, ANTIOQUIA, MACEO"	13406	"maceo"	"antioquia"	"CO05425"
684	"CUNDINAMARCA"	"PASCA"	"COLOMBIA, CUNDINAMARCA, PASCA"	13902	"pasca"	"cundinamarca"	"CO25535"
685	"VALLE"	"EL DOVIO"	"COLOMBIA, VALLE, EL DOVIO"	14382	"el dovio"	"valle"	"CO76250"
686	"CESAR"	"PAILITAS"	"COLOMBIA, CESAR, PAILITAS"	13775	"pailitas"	"cesar"	"CO20517"
687	"CAQUETA"	"SOLITA"	"COLOMBIA, CAQUETA, SOLITA"	13699	"solita"	"caqueta"	"CO18785"
688	"ANTIOQUIA"	"SEGOVIA"	"COLOMBIA, ANTIOQUIA, SEGOVIA"	13445	"segovia"	"antioquia"	"CO05736"
689	"ANTIOQUIA"	"COPACABANA"	"COLOMBIA, ANTIOQUIA, COPACABANA"	13380	"copacabana"	"antioquia"	"CO05212"
690	"BOLIVAR"	"CLEMENCIA"	"COLOMBIA, BOLIVAR, CLEMENCIA"	13525	"clemencia"	"bolivar"	"CO13222"
691	"CAQUETA"	"FLORENCIA"	"COLOMBIA, CAQUETA, FLORENCIA"	13691	"florencia"	"caqueta"	"CO18001"
692	"MAGDALENA"	"SABANAS DE SAN ANGEL"	"COLOMBIA, MAGDALENA, SABANAS DE SAN ANGEL"	14011	"sabanas de san angel"	"magdalena"	"CO47660"
693	"ANTIOQUIA"	"ANORI"	"COLOMBIA, ANTIOQUIA, ANORI"	13349	"anori"	"antioquia"	"CO05040"
694	"CAQUETA"	"SAN JOSE DEL FRAGUA"	"COLOMBIA, CAQUETA, SAN JOSE DEL FRAGUA"	13696	"san jose del fragua"	"caqueta"	"CO18610"
695	"ANTIOQUIA"	"GUARNE"	"COLOMBIA, ANTIOQUIA, GUARNE"	13394	"guarne"	"antioquia"	"CO05318"
696	"BOYACA"	"AQUITANIA"	"COLOMBIA, BOYACA, AQUITANIA"	13537	"aquitania"	"boyaca"	"CO15047"
697	"ANTIOQUIA"	"ANDES"	"COLOMBIA, ANTIOQUIA, ANDES"	13346	"andes"	"antioquia"	"CO05034"
698	"ANTIOQUIA"	"BARBOSA"	"COLOMBIA, ANTIOQUIA, BARBOSA"	13356	"barbosa"	"antioquia"	"CO05079"
699	"ANTIOQUIA"	"LA PINTADA"	"COLOMBIA, ANTIOQUIA, LA PINTADA"	13441	"la pintada"	"antioquia"	"CO05390"
700	"ANTIOQUIA"	"SAN ROQUE"	"COLOMBIA, ANTIOQUIA, SAN ROQUE"	13439	"san roque"	"antioquia"	"CO05670"
702	"BOYACA"	"GUATEQUE"	"COLOMBIA, BOYACA, GUATEQUE"	13575	"guateque"	"boyaca"	"CO15322"
703	"CAUCA"	"MIRANDA"	"COLOMBIA, CAUCA, MIRANDA"	13739	"miranda"	"cauca"	"CO19455"
705	"CUNDINAMARCA"	"EL ROSAL"	"COLOMBIA, CUNDINAMARCA, EL ROSAL"	13922	"el rosal"	"cundinamarca"	"CO25260"
706	"CUNDINAMARCA"	"OSPINA PEREZ (VENECIA)"	"COLOMBIA, CUNDINAMARCA, OSPINA PEREZ (VENECIA)"	13941	"ospina perez (venecia)"	"cundinamarca"	"CO25506"
707	"CUNDINAMARCA"	"QUIPILE"	"COLOMBIA, CUNDINAMARCA, QUIPILE"	13907	"quipile"	"cundinamarca"	"CO25596"
708	"VALLE"	"OBANDO"	"COLOMBIA, VALLE, OBANDO"	14391	"obando"	"valle"	"CO76497"
709	"CUNDINAMARCA"	"CAQUEZA"	"COLOMBIA, CUNDINAMARCA, CAQUEZA"	13849	"caqueza"	"cundinamarca"	"CO25151"
710	"ANTIOQUIA"	"RETIRO"	"COLOMBIA, ANTIOQUIA, RETIRO"	13424	"retiro"	"antioquia"	"CO05607"
711	"CAQUETA"	"BELEN DE LOS ANDAQUIES"	"COLOMBIA, CAQUETA, BELEN DE LOS ANDAQUIES"	13686	"belen de los andaquies"	"caqueta"	"CO18094"
712	"NARINO"	"SAMANIEGO"	"COLOMBIA, NARINO, SAMANIEGO"	14110	"samaniego"	"narino"	"CO52678"
713	"CUNDINAMARCA"	"MOSQUERA"	"COLOMBIA, CUNDINAMARCA, MOSQUERA"	13892	"mosquera"	"cundinamarca"	"CO25473"
714	"ANTIOQUIA"	"VIGIA DEL FUERTE"	"COLOMBIA, ANTIOQUIA, VIGIA DEL FUERTE"	13461	"vigia del fuerte"	"antioquia"	"CO05873"
715	"ANTIOQUIA"	"BELMIRA"	"COLOMBIA, ANTIOQUIA, BELMIRA"	13358	"belmira"	"antioquia"	"CO05086"
716	"ANTIOQUIA"	"CANASGORDAS"	"COLOMBIA, ANTIOQUIA, CANASGORDAS"	13368	"canasgordas"	"antioquia"	"CO05138"
717	"ANTIOQUIA"	"JARDIN"	"COLOMBIA, ANTIOQUIA, JARDIN"	13400	"jardin"	"antioquia"	"CO05364"
719	"BOLIVAR"	"SAN JACINTO DEL CAUCA"	"COLOMBIA, BOLIVAR, SAN JACINTO DEL CAUCA"	13521	"san jacinto del cauca"	"bolivar"	"CO13655"
720	"CAUCA"	"ARGELIA"	"COLOMBIA, CAUCA, ARGELIA"	13720	"argelia"	"cauca"	"CO19050"
721	"CORDOBA"	"PUERTO ESCONDIDO"	"COLOMBIA, CORDOBA, PUERTO ESCONDIDO"	13824	"puerto escondido"	"cordoba"	"CO23574"
722	"ANTIOQUIA"	"MUTATA"	"COLOMBIA, ANTIOQUIA, MUTATA"	13411	"mutata"	"antioquia"	"CO05480"
723	"ANTIOQUIA"	"AMALFI"	"COLOMBIA, ANTIOQUIA, AMALFI"	13345	"amalfi"	"antioquia"	"CO05031"
724	"BOYACA"	"SOATA"	"COLOMBIA, BOYACA, SOATA"	13628	"soata"	"boyaca"	"CO15753"
725	"BOYACA"	"PAUNA"	"COLOMBIA, BOYACA, PAUNA"	13602	"pauna"	"boyaca"	"CO15531"
726	"CORDOBA"	"LA APARTADA"	"COLOMBIA, CORDOBA, LA APARTADA"	13808	"la apartada"	"cordoba"	"CO23350"
727	"MAGDALENA"	"CERRO SAN ANTONIO"	"COLOMBIA, MAGDALENA, CERRO SAN ANTONIO"	14012	"cerro san antonio"	"magdalena"	"CO47161"
728	"CAUCA"	"TIMBIQUI"	"COLOMBIA, CAUCA, TIMBIQUI"	13756	"timbiqui"	"cauca"	"CO19809"
729	"CHOCO"	"ATRATO"	"COLOMBIA, CHOCO, ATRATO"	13802	"atrato"	"choco"	"CO27050"
730	"ANTIOQUIA"	"CARMEN DE VIBORAL"	"COLOMBIA, ANTIOQUIA, CARMEN DE VIBORAL"	13372	"carmen de viboral"	"antioquia"	"CO05148"
731	"ANTIOQUIA"	"CACERES"	"COLOMBIA, ANTIOQUIA, CACERES"	13364	"caceres"	"antioquia"	"CO05120"
732	"ANTIOQUIA"	"VALDIVIA"	"COLOMBIA, ANTIOQUIA, VALDIVIA"	13457	"valdivia"	"antioquia"	"CO05854"
733	"CUNDINAMARCA"	"MADRID"	"COLOMBIA, CUNDINAMARCA, MADRID"	13889	"madrid"	"cundinamarca"	"CO25430"
734	"ANTIOQUIA"	"CONCORDIA"	"COLOMBIA, ANTIOQUIA, CONCORDIA"	13379	"concordia"	"antioquia"	"CO05209"
735	"ANTIOQUIA"	"NARINO"	"COLOMBIA, ANTIOQUIA, NARINO"	13412	"narino"	"antioquia"	"CO05483"
736	"CHOCO"	"ACANDI"	"COLOMBIA, CHOCO, ACANDI"	13783	"acandi"	"choco"	"CO27006"
737	"SANTANDER"	"CARCASI"	"COLOMBIA, SANTANDER, CARCASI"	14218	"carcasi"	"santander"	"CO68152"
738	"BOLIVAR"	"MORALES"	"COLOMBIA, BOLIVAR, MORALES"	13516	"morales"	"bolivar"	"CO13473"
739	"BOLIVAR"	"PINILLOS"	"COLOMBIA, BOLIVAR, PINILLOS"	13517	"pinillos"	"bolivar"	"CO13549"
740	"ANTIOQUIA"	"YALI"	"COLOMBIA, ANTIOQUIA, YALI"	13462	"yali"	"antioquia"	"CO05885"
741	"CESAR"	"GONZALEZ"	"COLOMBIA, CESAR, GONZALEZ"	13770	"gonzalez"	"cesar"	"CO20310"
742	"CORDOBA"	"CANALETE"	"COLOMBIA, CORDOBA, CANALETE"	13810	"canalete"	"cordoba"	"CO23090"
743	"ANTIOQUIA"	"SAN CARLOS"	"COLOMBIA, ANTIOQUIA, SAN CARLOS"	13430	"san carlos"	"antioquia"	"CO05649"
744	"BOYACA"	"GUACAMAYAS"	"COLOMBIA, BOYACA, GUACAMAYAS"	13574	"guacamayas"	"boyaca"	"CO15317"
745	"SANTANDER"	"CONCEPCION"	"COLOMBIA, SANTANDER, CONCEPCION"	14226	"concepcion"	"santander"	"CO68207"
746	"ANTIOQUIA"	"JERICO"	"COLOMBIA, ANTIOQUIA, JERICO"	13401	"jerico"	"antioquia"	"CO05368"
747	"MAGDALENA"	"SITIO NUEVO"	"COLOMBIA, MAGDALENA, SITIO NUEVO"	13475	"sitio nuevo"	"magdalena"	"CO47745"
748	"ANTIOQUIA"	"BETULIA"	"COLOMBIA, ANTIOQUIA, BETULIA"	13360	"betulia"	"antioquia"	"CO05093"
749	"BOLIVAR"	"CICUCO"	"COLOMBIA, BOLIVAR, CICUCO"	13505	"cicuco"	"bolivar"	"CO13188"
751	"ANTIOQUIA"	"ABEJORRAL"	"COLOMBIA, ANTIOQUIA, ABEJORRAL"	13341	"abejorral"	"antioquia"	"CO05002"
752	"MAGDALENA"	"SAN SEBASTIAN DE BUENAVISTA"	"COLOMBIA, MAGDALENA, SAN SEBASTIAN DE BUENAVISTA"	14025	"san sebastian de buenavista"	"magdalena"	"CO47692"
753	"ANTIOQUIA"	"MARINILLA"	"COLOMBIA, ANTIOQUIA, MARINILLA"	13407	"marinilla"	"antioquia"	"CO05440"
754	"CUNDINAMARCA"	"JERUSALEN"	"COLOMBIA, CUNDINAMARCA, JERUSALEN"	13880	"jerusalen"	"cundinamarca"	"CO25368"
755	"NARINO"	"RICAURTE"	"COLOMBIA, NARINO, RICAURTE"	14108	"ricaurte"	"narino"	"CO52612"
756	"NARINO"	"TAMINANGO"	"COLOMBIA, NARINO, TAMINANGO"	14119	"taminango"	"narino"	"CO52786"
757	"CUNDINAMARCA"	"GUAYABAL DE SIQUIMA"	"COLOMBIA, CUNDINAMARCA, GUAYABAL DE SIQUIMA"	13877	"guayabal de siquima"	"cundinamarca"	"CO25328"
758	"MAGDALENA"	"PIJINO DEL CARMEN (PIJINO)"	"COLOMBIA, MAGDALENA, PIJINO DEL CARMEN (PIJINO)"	14027	"pijino del carmen (pijino)"	"magdalena"	"CO47545"
759	"CHOCO"	"RIOSUCIO"	"COLOMBIA, CHOCO, RIOSUCIO"	13803	"riosucio"	"choco"	"CO27615"
760	"CUNDINAMARCA"	"COTA"	"COLOMBIA, CUNDINAMARCA, COTA"	13857	"cota"	"cundinamarca"	"CO25214"
761	"CUNDINAMARCA"	"VIANI"	"COLOMBIA, CUNDINAMARCA, VIANI"	13943	"viani"	"cundinamarca"	"CO25867"
762	"AMAZONAS"	"PUERTO SANTANDER"	"COLOMBIA, AMAZONAS, PUERTO SANTANDER"	13339	"puerto santander"	"amazonas"	"CO91669"
763	"ANTIOQUIA"	"LIBORINA"	"COLOMBIA, ANTIOQUIA, LIBORINA"	13405	"liborina"	"antioquia"	"CO05411"
764	"CUNDINAMARCA"	"BITUIMA"	"COLOMBIA, CUNDINAMARCA, BITUIMA"	13843	"bituima"	"cundinamarca"	"CO25095"
765	"MAGDALENA"	"SAN ZENON"	"COLOMBIA, MAGDALENA, SAN ZENON"	14026	"san zenon"	"magdalena"	"CO47703"
766	"BOLIVAR"	"SAN MARTIN DE LOBA"	"COLOMBIA, BOLIVAR, SAN MARTIN DE LOBA"	13523	"san martin de loba"	"bolivar"	"CO13667"
767	"CUNDINAMARCA"	"SAN CAYETANO"	"COLOMBIA, CUNDINAMARCA, SAN CAYETANO"	13911	"san cayetano"	"cundinamarca"	"CO25653"
768	"NARINO"	"EL ROSARIO"	"COLOMBIA, NARINO, EL ROSARIO"	14077	"el rosario"	"narino"	"CO52256"
769	"CHOCO"	"BAGADO"	"COLOMBIA, CHOCO, BAGADO"	13785	"bagado"	"choco"	"CO27073"
770	"SANTANDER"	"ENCINO"	"COLOMBIA, SANTANDER, ENCINO"	14235	"encino"	"santander"	"CO68264"
771	"CHOCO"	"MEDIO ATRATO"	"COLOMBIA, CHOCO, MEDIO ATRATO"	13802	"medio atrato"	"choco"	"CO27425"
772	"CUNDINAMARCA"	"CAJICA"	"COLOMBIA, CUNDINAMARCA, CAJICA"	13847	"cajica"	"cundinamarca"	"CO25126"
773	"CAQUETA"	"MILAN"	"COLOMBIA, CAQUETA, MILAN"	13693	"milan"	"caqueta"	"CO18460"
774	"SANTANDER"	"CALIFORNIA"	"COLOMBIA, SANTANDER, CALIFORNIA"	14216	"california"	"santander"	"CO68132"
775	"NARINO"	"IPIALES"	"COLOMBIA, NARINO, IPIALES"	14087	"ipiales"	"narino"	"CO52356"
776	"ANTIOQUIA"	"NECHI"	"COLOMBIA, ANTIOQUIA, NECHI"	13413	"nechi"	"antioquia"	"CO05495"
777	"CUNDINAMARCA"	"ZIPACON"	"COLOMBIA, CUNDINAMARCA, ZIPACON"	13949	"zipacon"	"cundinamarca"	"CO25898"
778	"SANTANDER"	"PALMAS SOCORRO"	"COLOMBIA, SANTANDER, PALMAS SOCORRO"	14264	"palmas socorro"	"santander"	"CO68524"
779	"TOLIMA"	"VILLARICA"	"COLOMBIA, TOLIMA, VILLARICA"	14363	"villarica"	"tolima"	"CO73873"
780	"ANTIOQUIA"	"COCORNA"	"COLOMBIA, ANTIOQUIA, COCORNA"	13377	"cocorna"	"antioquia"	"CO05197"
781	"BOYACA"	"PAJARITO"	"COLOMBIA, BOYACA, PAJARITO"	13600	"pajarito"	"boyaca"	"CO15518"
782	"CUNDINAMARCA"	"LA CALERA"	"COLOMBIA, CUNDINAMARCA, LA CALERA"	13882	"la calera"	"cundinamarca"	"CO25377"
783	"RISARALDA"	"BALBOA"	"COLOMBIA, RISARALDA, BALBOA"	14190	"balboa"	"risaralda"	"CO66075"
784	"BOYACA"	"QUIPAMA"	"COLOMBIA, BOYACA, QUIPAMA"	13608	"quipama"	"boyaca"	"CO15580"
785	"CUNDINAMARCA"	"SAN ANTONIO DE TEQUENDAMA"	"COLOMBIA, CUNDINAMARCA, SAN ANTONIO DE TEQUENDAMA"	13909	"san antonio de tequendama"	"cundinamarca"	"CO25645"
786	"GUAINIA"	"MAPIRIPANA"	"COLOMBIA, GUAINIA, MAPIRIPANA"	13951	"mapiripana"	"guainia"	"CO94663"
787	"ANTIOQUIA"	"ANZA"	"COLOMBIA, ANTIOQUIA, ANZA"	13351	"anza"	"antioquia"	"CO05044"
788	"BOLIVAR"	"ARENAL"	"COLOMBIA, BOLIVAR, ARENAL"	13516	"arenal"	"bolivar"	"CO13042"
789	"CHOCO"	"NOVITA"	"COLOMBIA, CHOCO, NOVITA"	13800	"novita"	"choco"	"CO27491"
790	"CUNDINAMARCA"	"ANOLAIMA"	"COLOMBIA, CUNDINAMARCA, ANOLAIMA"	13839	"anolaima"	"cundinamarca"	"CO25040"
791	"BOYACA"	"PAIPA"	"COLOMBIA, BOYACA, PAIPA"	13599	"paipa"	"boyaca"	"CO15516"
792	"CAUCA"	"LA SIERRA"	"COLOMBIA, CAUCA, LA SIERRA"	13735	"la sierra"	"cauca"	"CO19392"
793	"BOYACA"	"GARAGOA"	"COLOMBIA, BOYACA, GARAGOA"	13573	"garagoa"	"boyaca"	"CO15299"
794	"CUNDINAMARCA"	"BELTRAN"	"COLOMBIA, CUNDINAMARCA, BELTRAN"	13842	"beltran"	"cundinamarca"	"CO25086"
795	"SANTANDER"	"GALAN"	"COLOMBIA, SANTANDER, GALAN"	14239	"galan"	"santander"	"CO68296"
796	"CASANARE"	"RECETOR"	"COLOMBIA, CASANARE, RECETOR"	13710	"recetor"	"casanare"	"CO85279"
797	"ANTIOQUIA"	"VEGACHI"	"COLOMBIA, ANTIOQUIA, VEGACHI"	13459	"vegachi"	"antioquia"	"CO05858"
798	"CHOCO"	"MEDIO SAN JUAN"	"COLOMBIA, CHOCO, MEDIO SAN JUAN"	13794	"medio san juan"	"choco"	"CO27450"
799	"CORDOBA"	"BUENAVISTA"	"COLOMBIA, CORDOBA, BUENAVISTA"	13809	"buenavista"	"cordoba"	"CO23079"
800	"SANTANDER"	"EL GUACAMAYO"	"COLOMBIA, SANTANDER, EL GUACAMAYO"	14232	"el guacamayo"	"santander"	"CO68245"
802	"CUNDINAMARCA"	"GUATAQUI"	"COLOMBIA, CUNDINAMARCA, GUATAQUI"	13875	"guataqui"	"cundinamarca"	"CO25324"
803	"CUNDINAMARCA"	"ALBAN"	"COLOMBIA, CUNDINAMARCA, ALBAN"	13837	"alban"	"cundinamarca"	"CO25019"
804	"BOLIVAR"	"ZAMBRANO"	"COLOMBIA, BOLIVAR, ZAMBRANO"	13535	"zambrano"	"bolivar"	"CO13894"
805	"CHOCO"	"NUQUI"	"COLOMBIA, CHOCO, NUQUI"	13801	"nuqui"	"choco"	"CO27495"
806	"TOLIMA"	"RONCESVALLES"	"COLOMBIA, TOLIMA, RONCESVALLES"	14353	"roncesvalles"	"tolima"	"CO73622"
807	"CAUCA"	"SILVIA"	"COLOMBIA, CAUCA, SILVIA"	13752	"silvia"	"cauca"	"CO19743"
808	"CUNDINAMARCA"	"QUETAME"	"COLOMBIA, CUNDINAMARCA, QUETAME"	13906	"quetame"	"cundinamarca"	"CO25594"
809	"BOYACA"	"OTANCHE"	"COLOMBIA, BOYACA, OTANCHE"	13596	"otanche"	"boyaca"	"CO15507"
810	"CUNDINAMARCA"	"CHIPAQUE"	"COLOMBIA, CUNDINAMARCA, CHIPAQUE"	13853	"chipaque"	"cundinamarca"	"CO25178"
811	"CUNDINAMARCA"	"FOSCA"	"COLOMBIA, CUNDINAMARCA, FOSCA"	13863	"fosca"	"cundinamarca"	"CO25281"
812	"MAGDALENA"	"REMOLINO"	"COLOMBIA, MAGDALENA, REMOLINO"	14023	"remolino"	"magdalena"	"CO47605"
813	"ANTIOQUIA"	"SAN JERONIMO"	"COLOMBIA, ANTIOQUIA, SAN JERONIMO"	13432	"san jeronimo"	"antioquia"	"CO05656"
814	"AMAZONAS"	"LA VICTORIA"	"COLOMBIA, AMAZONAS, LA VICTORIA"	13337	"la victoria"	"amazonas"	"CO91430"
815	"SANTANDER"	"SUAITA"	"COLOMBIA, SANTANDER, SUAITA"	14284	"suaita"	"santander"	"CO68770"
816	"META"	"SAN JUANITO"	"COLOMBIA, META, SAN JUANITO"	14056	"san juanito"	"meta"	"CO50686"
817	"ANTIOQUIA"	"LA UNION"	"COLOMBIA, ANTIOQUIA, LA UNION"	13404	"la union"	"antioquia"	"CO05400"
818	"TOLIMA"	"VILLAHERMOSA"	"COLOMBIA, TOLIMA, VILLAHERMOSA"	14362	"villahermosa"	"tolima"	"CO73870"
819	"CUNDINAMARCA"	"SIBATE"	"COLOMBIA, CUNDINAMARCA, SIBATE"	13917	"sibate"	"cundinamarca"	"CO25740"
821	"CUNDINAMARCA"	"CUCUNUBA"	"COLOMBIA, CUNDINAMARCA, CUCUNUBA"	13858	"cucunuba"	"cundinamarca"	"CO25224"
822	"MAGDALENA"	"NUEVA GRANADA"	"COLOMBIA, MAGDALENA, NUEVA GRANADA"	14021	"nueva granada"	"magdalena"	"CO47460"
823	"BOYACA"	"SAN MATEO"	"COLOMBIA, BOYACA, SAN MATEO"	13618	"san mateo"	"boyaca"	"CO15673"
824	"PUTUMAYO"	"COLON"	"COLOMBIA, PUTUMAYO, COLON"	14165	"colon"	"putumayo"	"CO86219"
825	"CUNDINAMARCA"	"TOCANCIPA"	"COLOMBIA, CUNDINAMARCA, TOCANCIPA"	13934	"tocancipa"	"cundinamarca"	"CO25817"
826	"BOLIVAR"	"REGIDOR"	"COLOMBIA, BOLIVAR, REGIDOR"	13516	"regidor"	"bolivar"	"CO13580"
